date_hour,updated,totalInstalls,totalReviews,rating_1,rating_2,rating_3,rating_4,rating_5,categories
2023-10-07 16,1,50232,0,0,0,0,0,0,{'Doanh nghiệp': 1}
2023-12-15 10,1,54716,0,0,0,0,0,0,{'Đua xe': 1}
2024-02-12 06,1,54725,0,0,0,0,0,0,{'Giáo dục': 1}
2024-04-08 22,1,56825,0,0,0,0,0,0,{'Hành động': 1}
2024-08-12 07,1,59676,0,0,0,0,0,0,{'Sức khỏe và Thể hình': 1}
2024-09-05 04,1,52787,0,0,0,0,0,0,{'Trò chơi arcade': 1}
2024-09-08 11,1,70836,0,0,0,0,0,0,{'Hành động': 1}
2024-09-13 06,1,475864458,102,7260,1210,2823,2823,26391,{'Công cụ': 1}
2024-09-16 16,1,1337084,39,392,156,235,940,4116,{'Liên lạc': 1}
2024-09-20 14,1,54092,0,0,0,0,0,0,{'Công cụ': 1}
2024-09-24 05,1,58701,0,0,0,0,0,0,{'Công cụ': 1}
2024-10-09 08,1,57865,0,0,0,0,0,0,{'Trò chơi arcade': 1}
2024-10-13 08,1,5837181,38,2266,755,755,2014,18636,{'Công cụ': 1}
2024-10-13 12,1,51251,0,0,0,0,0,0,{'Công cụ': 1}
2024-10-14 05,1,60241,0,0,0,0,0,0,{'Phổ thông': 1}
2024-10-14 17,1,2855423,33,1378,196,590,2756,17920,"{'Ngoại tuyến': 1, 'Bắn súng': 1, 'Một người chơi': 1, 'Phổ thông': 1, 'Tạo kiểu': 1, 'Thây ma': 1, 'Mưa đạn': 1, 'Hành động': 1}"
2024-10-14 22,1,229447,0,0,0,0,0,0,{'Nghệ thuật và thiết kế': 1}
2024-10-16 16,1,23686791,1924,33890,3596,4430,8314,125377,{'Công cụ': 1}
2024-10-16 22,2,43077536,1809,114883,16494,21737,64395,468947,"{'Liên lạc': 1, 'Công cụ': 1}"
2024-10-17 07,2,2647737,0,0,0,0,0,0,"{'Thể thao': 1, 'Doanh nghiệp': 1}"
2024-10-17 14,1,207150,51,100,100,251,1611,13145,"{'Hợp nhất': 1, 'Phổ thông': 1, 'Giải đố': 1, 'Một người chơi': 1, 'Tạo kiểu': 1}"
2024-10-18 03,1,1784196,0,0,0,0,0,0,"{'Nhập vai trực tuyến siêu nhiều người chơi': 1, 'Nhập vai': 1, 'Một người chơi': 1, 'Lịch sử': 1, 'Đồ hoạ pixel': 1, 'Tạo kiểu': 1}"
2024-10-18 06,1,387553,6,544,136,0,408,2176,"{'Phổ thông': 1, 'Hợp nhất': 1, 'Ngoại tuyến': 1, 'Giải đố': 1, 'Tạo kiểu': 1, 'Một người chơi': 1}"
2024-10-18 09,1,81121,0,0,0,0,0,0,"{'Nhập vai': 1, 'Võ thuật': 1, 'Tạo kiểu': 1, 'Phổ thông': 1}"
2024-10-18 17,1,99191,0,0,0,0,0,0,{'Doanh nghiệp': 1}
2024-10-19 09,1,58919,0,0,0,0,0,0,{'Giải đố': 1}
2024-10-19 18,1,1050721,0,0,0,0,0,0,{'Giải trí': 1}
2024-10-21 06,1,1641466,0,0,0,0,0,0,{'Giáo dục': 1}
2024-10-21 08,1,57119,4,37,0,0,37,113,{'Doanh nghiệp': 1}
2024-10-21 11,2,199530517,714643,404525,72418,100884,202128,1501617,"{'Sức khỏe và Thể hình': 1, 'Liên lạc': 1}"
2024-10-21 14,1,20977912,6945,5261,1271,1191,5581,88853,{'Cá nhân hóa': 1}
2024-10-21 15,1,61954,0,0,0,0,0,0,{'Công cụ': 1}
2024-10-21 19,1,31302609,20,28966,5793,5793,28966,260699,{'Nhạc và Âm thanh': 1}
2024-10-22 04,1,1244899,63,1623,0,1129,1129,19627,{'Nghệ thuật và thiết kế': 1}
2024-10-22 08,3,3494549,25,3032,1,434,434,4761,"{'Du lịch và Địa phương': 1, 'Công cụ': 1, 'Phổ thông': 1}"
2024-10-22 09,1,656819,52,559,0,326,559,10388,{'Nhập vai': 1}
2024-10-22 12,1,1230051,96,981,0,98,981,9191,{'Giáo dục': 1}
2024-10-22 13,2,960346,0,0,0,0,0,0,"{'Ăn uống': 1, 'Công cụ': 1}"
2024-10-22 18,1,2284582,11,4952,495,495,6933,50514,{'Sức khỏe và Thể hình': 1}
2024-10-23 01,1,13072768,2,15726,0,15726,10484,141542,{'Liên lạc': 1}
2024-10-23 07,2,19153124,101,5002,1098,3294,6222,40753,"{'Liên lạc': 1, 'Phổ thông': 1, 'Một người chơi': 1, 'Hợp nhất': 1, 'Tạo kiểu': 1, 'Hoạt hình': 1, 'Giải đố': 1, 'Ngoại tuyến': 1}"
2024-10-23 08,1,246853,3,0,0,0,456,3196,{'Công cụ': 1}
2024-10-23 09,1,457675,0,0,0,0,0,0,{'Mua sắm': 1}
2024-10-23 10,4,1284494630,3345,969133,265347,311065,623064,6487819,"{'Xã hội': 1, 'Công cụ': 1, 'Liên lạc': 1, 'Ăn uống': 1}"
2024-10-23 11,4,331984370,136262,769977,211997,452653,1144313,10586672,"{'Phổ thông': 2, 'Bắn bong bóng': 1, 'Giải đố': 2, 'Y tế': 1, 'Trang trại': 1, 'Quản lý': 1, 'Một người chơi': 1, 'Mô phỏng': 1, 'Làm nông trại': 1, 'Tạo kiểu': 1}"
2024-10-23 12,4,37440557,703,20506,7256,8449,18097,92484,"{'Công cụ': 2, 'Nhiếp ảnh': 1, 'Hoạt hình': 1, 'Một người chơi': 1, 'Ngoại tuyến': 1, 'Phổ thông': 1, 'Mô phỏng': 1, 'Nhàn rỗi': 1, 'Tạo kiểu': 1}"
2024-10-23 13,1,1620555,552,262,262,656,787,11318,"{'Ngoại tuyến': 1, 'Một người chơi': 1, 'Quản lý': 1, 'Tạo kiểu': 1, 'Phổ thông': 1, 'Làm nông trại': 1, 'Mô phỏng': 1, 'Đồ hoạ pixel': 1}"
2024-10-23 14,3,22838597,52,0,0,0,0,4880,"{'Mua sắm': 1, 'Giáo dục': 1, 'Ăn uống': 1}"
2024-10-23 15,1,43546095,0,0,0,0,0,0,{'Giáo dục': 1}
2024-10-23 17,2,3685105,4,0,0,0,4376,35983,"{'Phổ thông': 1, 'Giải đố': 1, 'Tạo kiểu': 1, 'Nhà cửa và vườn tược': 1, 'Ghép 3': 1, 'Phiêu lưu ghép 3': 1, 'Một người chơi': 1, 'Doanh nghiệp': 1}"
2024-10-23 18,1,9972176,387,2494,955,1963,2971,41393,{'Bản đồ và dẫn đường': 1}
2024-10-23 21,1,227382,0,0,0,0,0,0,{'Xã hội': 1}
2024-10-23 23,1,26362674,41,0,0,14362,57450,414467,{'Nhà cửa': 1}
2024-10-24 00,4,20156209232,247428,4564102,1044763,1716171,3495349,32932100,"{'Ăn uống': 1, 'Công cụ': 1, 'Nhàn rỗi nhập vai': 1, 'Một người chơi': 1, 'Nhập vai': 1, 'Phổ thông': 1, 'Đồ hoạ pixel': 1, 'Tạo kiểu': 1, 'Y tế': 1}"
2024-10-24 02,2,9002963,29,2567,0,244,488,6234,"{'Công cụ': 1, 'Du lịch và Địa phương': 1}"
2024-10-24 03,1,13534788,17,711,296,414,237,2074,"{'Một người chơi': 1, 'Tạo kiểu': 1, 'Phổ thông': 1, 'Mô phỏng': 1}"
2024-10-24 05,3,13164110,12,2253,1935,1224,1548,9357,"{'Mô phỏng xe hơi': 1, 'Ngoại tuyến': 1, 'Xe': 1, 'Phổ thông': 2, 'Một người chơi': 1, 'Tạo kiểu': 2, 'Mô phỏng': 1, 'Ghép 3': 1, 'Giải đố': 1, 'Thể thao': 1, 'Bóng đá': 1}"
2024-10-24 06,3,37698969,5785,5536,1084,2812,10419,72394,"{'Phổ thông': 2, 'Tạo kiểu': 2, 'Hoạt hình': 2, 'Một người chơi': 2, 'Trò chơi nhỏ': 1, 'Giáo dục': 1, 'Hợp nhất': 1, 'Giải đố': 1}"
2024-10-24 07,6,1206060952,68313,1363157,297368,603190,1762587,12830221,"{'Mua sắm': 1, 'Giáo dục': 1, 'Phiêu lưu': 1, 'Sách và Tài liệu tham khảo': 1, 'Liên lạc': 2}"
2024-10-24 08,5,52936587,99,163251,5409,42845,130105,495544,"{'Liên lạc': 1, 'Giải đố': 1, 'Sức khỏe và Thể hình': 1, 'Một người chơi': 2, 'Ngoại tuyến': 2, 'Âm nhạc': 1, 'Trò chơi arcade': 1, 'Trừu tượng': 1, 'Trình diễn': 1, 'Phổ thông': 1, 'Xe': 1, 'Tạo kiểu': 1, 'Mô phỏng xe hơi': 1, 'Mô phỏng': 1}"
2024-10-24 09,2,10319125,247,6637,1397,1397,4541,21763,"{'Mô phỏng': 1, 'Một người chơi': 1, 'Ngoại tuyến': 1, 'Hóa trang': 1, 'Phổ thông': 1, 'Phong cách sống': 1, 'Tạo kiểu': 1, 'Bản đồ và dẫn đường': 1}"
2024-10-24 10,5,156191751,12690,223644,37299,69911,237573,2420427,"{'Tạo kiểu': 1, 'Giải đố': 2, 'Một người chơi': 2, 'Phiêu lưu ghép 3': 1, 'Phổ thông': 2, 'Ghép 3': 1, 'Nhiếp ảnh': 2, 'Mô phỏng': 1, 'Trừu tượng': 1, 'Ngoại tuyến': 1, 'Logic': 1}"
2024-10-24 11,6,36400909,281,14079,2088,2338,6023,56227,"{'Thời tiết': 1, 'Ô tô': 1, 'Tạo kiểu': 3, 'Ngoại tuyến': 2, 'Một người chơi': 3, 'Phổ thông': 3, 'Xe cộ': 1, 'Hợp nhất': 1, 'Giải đố': 2, 'Trò chơi trí tuệ': 1, 'Mô phỏng': 1, 'Cờ bàn': 1, 'Trò chơi đi cảnh': 1, 'Hành động': 1}"
2024-10-24 12,5,76377915,1374,27991,3400,11093,40993,284134,"{'Liên lạc': 1, 'Tạo kiểu': 2, 'Một người chơi': 2, 'Hành động': 1, 'Phổ thông': 2, 'Ngoại tuyến': 2, 'Phiêu lưu – hành động': 1, 'Sinh tồn': 1, 'Nhiếp ảnh': 1, 'Đua xe': 1, 'Ô tô': 1, 'Lái xe tốc độ': 1, 'Xe thể thao': 1, 'Xe cộ': 1, 'Nhạc và Âm thanh': 1}"
2024-10-24 13,7,319266730,26174,215991,35159,86134,289227,1717809,"{'Phổ thông': 1, 'Đố vui': 2, 'Ghép hình': 1, 'Hoạt hình': 1, 'Tạo kiểu': 1, 'Yên bình': 1, 'Một người chơi': 1, 'Khác': 1, 'Giải đố': 1, 'Ngoại tuyến': 1, 'Cá nhân hóa': 1, 'Giáo dục': 1, 'Nhạc và Âm thanh': 1, 'Mua sắm': 1, 'Xã hội': 1}"
2024-10-24 14,7,256018476,6662,333717,77215,241780,421617,3788203,"{'Nhiều người chơi': 1, 'Chiến thuật': 1, 'Nền văn minh': 1, 'Tạo kiểu': 3, '4X': 1, 'Nhiều người chơi cùng cạnh tranh': 1, 'Phổ thông': 2, 'Một người chơi': 2, 'Ngoại tuyến': 2, 'Mô phỏng': 1, 'Mèo': 1, 'Hành động': 1, 'Đồ hoạ 3D': 1, 'Động vật': 1, 'Truyện tranh': 1, 'Ăn uống': 1, 'Y tế': 1, 'Công cụ': 1}"
2024-10-24 15,1,226338039,212,99770,0,43719,122190,1431536,"{'Mưa đạn': 1, 'Khoa học viễn tưởng và giả tưởng': 1, 'Bắn súng': 1, 'Một người chơi': 1, 'Tạo kiểu': 1, 'Hành động': 1, 'Phổ thông': 1, 'Ngoại tuyến': 1, 'Giả tưởng': 1, 'Chiến đấu': 1}"
2024-10-24 16,1,74262,0,0,0,0,0,0,{'Nhà cửa': 1}
2024-10-24 19,1,71710,0,0,0,0,0,0,{'Y tế': 1}
2024-10-24 20,3,72425750,28,81504,0,0,81504,421698,"{'Nhà cửa': 1, 'Lối sống': 1, 'Ăn uống': 1}"
2024-10-24 23,1,124532,0,0,0,0,0,0,{'Truyện tranh': 1}
2024-10-25 05,1,1257921,0,0,0,0,0,0,{'Doanh nghiệp': 1}
2024-10-25 08,2,165314,0,0,0,0,0,0,"{'Lối sống': 1, 'Nhạc và Âm thanh': 1}"
2024-10-25 09,4,1778441,25,361,180,406,722,5466,"{'Một người chơi': 1, 'Quản lý kinh doanh': 1, 'Mô phỏng': 1, 'Đồ hoạ 3D': 1, 'Quản lý': 1, 'Ngoại tuyến': 1, 'Tạo kiểu': 1, 'Phổ thông': 2, 'Giải đố': 1, 'Ghép 3': 1, 'Công cụ': 1, 'Lối sống': 1}"
