date_hour,updated,totalInstalls,totalReviews,rating_1,rating_2,rating_3,rating_4,rating_5,categories
2023-10-07,1,50232,0,0,0,0,0,0,{'Doanh nghiệp': 1}
2023-12-15,1,54716,0,0,0,0,0,0,{'Đua xe': 1}
2024-02-12,1,54725,0,0,0,0,0,0,{'Giáo dục': 1}
2024-04-08,1,56825,0,0,0,0,0,0,{'Hành động': 1}
2024-08-12,1,59676,0,0,0,0,0,0,{'Sức khỏe và Thể hình': 1}
2024-09-05,1,52787,0,0,0,0,0,0,{'Trò chơi arcade': 1}
2024-09-08,1,70836,0,0,0,0,0,0,{'Hành động': 1}
2024-09-13,1,475864458,102,7260,1210,2823,2823,26391,{'Công cụ': 1}
2024-09-16,1,1337084,39,392,156,235,940,4116,{'Liên lạc': 1}
2024-09-20,1,54092,0,0,0,0,0,0,{'Công cụ': 1}
2024-09-24,1,58701,0,0,0,0,0,0,{'Công cụ': 1}
2024-10-09,1,57865,0,0,0,0,0,0,{'Trò chơi arcade': 1}
2024-10-13,2,5888432,38,2266,755,755,2014,18636,{'Công cụ': 2}
2024-10-14,3,3145111,33,1378,196,590,2756,17920,"{'Nghệ thuật và thiết kế': 1, 'Phổ thông': 2, 'Ngoại tuyến': 1, 'Bắn súng': 1, 'Một người chơi': 1, 'Tạo kiểu': 1, 'Thây ma': 1, 'Mưa đạn': 1, 'Hành động': 1}"
2024-10-16,3,66764327,3733,148773,20090,26167,72709,594324,"{'Công cụ': 2, 'Liên lạc': 1}"
2024-10-17,3,2854887,51,100,100,251,1611,13145,"{'Hợp nhất': 1, 'Phổ thông': 1, 'Giải đố': 1, 'Một người chơi': 1, 'Tạo kiểu': 1, 'Thể thao': 1, 'Doanh nghiệp': 1}"
2024-10-18,4,2352061,6,544,136,0,408,2176,"{'Phổ thông': 2, 'Hợp nhất': 1, 'Ngoại tuyến': 1, 'Giải đố': 1, 'Tạo kiểu': 3, 'Một người chơi': 2, 'Nhập vai trực tuyến siêu nhiều người chơi': 1, 'Nhập vai': 2, 'Lịch sử': 1, 'Đồ hoạ pixel': 1, 'Doanh nghiệp': 1, 'Võ thuật': 1}"
2024-10-19,2,1109640,0,0,0,0,0,0,"{'Giải trí': 1, 'Giải đố': 1}"
2024-10-21,7,253571577,721612,438789,79482,107868,236712,1851282,"{'Doanh nghiệp': 1, 'Sức khỏe và Thể hình': 1, 'Công cụ': 1, 'Liên lạc': 1, 'Nhạc và Âm thanh': 1, 'Giáo dục': 1, 'Cá nhân hóa': 1}"
2024-10-22,9,9871246,247,11147,496,2482,10036,94481,"{'Ăn uống': 1, 'Nghệ thuật và thiết kế': 1, 'Công cụ': 2, 'Nhập vai': 1, 'Du lịch và Địa phương': 1, 'Sức khỏe và Thể hình': 1, 'Phổ thông': 1, 'Giáo dục': 1}"
2024-10-23,27,1795102561,141452,1783100,486915,808168,1868220,17860507,"{'Ngoại tuyến': 3, 'Một người chơi': 5, 'Quản lý': 2, 'Tạo kiểu': 5, 'Phổ thông': 6, 'Làm nông trại': 2, 'Mô phỏng': 3, 'Đồ hoạ pixel': 1, 'Xã hội': 2, 'Mua sắm': 2, 'Bắn bong bóng': 1, 'Giải đố': 4, 'Giáo dục': 2, 'Nhà cửa và vườn tược': 1, 'Ghép 3': 1, 'Phiêu lưu ghép 3': 1, 'Bản đồ và dẫn đường': 1, 'Liên lạc': 3, 'Công cụ': 4, 'Doanh nghiệp': 1, 'Y tế': 1, 'Trang trại': 1, 'Nhà cửa': 1, 'Nhiếp ảnh': 1, 'Ăn uống': 2, 'Hợp nhất': 1, 'Hoạt hình': 2, 'Nhàn rỗi': 1}"
